id,name,land_case,district,docket_no,register_outcome,hoffman_outcome,agrees,commission_docket,evidence_tier,scan_url
u-98,Lup Yomi,N.D. 8,ND,8,Rejected,other,,507,hoffman-table,https://digicoll.lib.berkeley.edu/record/264401
u-24,El Primer Canon or Rio de los Berendos,N.D. 12,ND,12,Confirmed,Confirmed,True,122,hoffman-table,https://digicoll.lib.berkeley.edu/record/264404
u-105,San Miguelito de Trinidad,ND 18,ND,18,Confirmed,Confirmed,True,27,hoffman-table,
u-91,Jimeno Rancho,N.D. 23,ND,23,Confirmed,Confirmed,True,131,hoffman-table,https://digicoll.lib.berkeley.edu/record/264412
u-60,Rancho de Colus,N.D. 28,ND,28,Confirmed,Confirmed,True,144,hoffman-table,https://digicoll.lib.berkeley.edu/record/264415
u-22,Tomales and Baulinas,N.D. 68,ND,68,Confirmed,Confirmed,True,114,hoffman-table,https://digicoll.lib.berkeley.edu/record/264452
rancho-ulpinos,Los Ulpinos,ND 086,ND,86,Confirmed,Confirmed,True,319,hoffman-table,https://digicoll.lib.berkeley.edu/record/265448
u-133,unnamed tract (9 square leagues),N.D. 96,ND,96,Rejected,other,,113,hoffman-table,https://digicoll.lib.berkeley.edu/record/265457
u-30,Rancho del Refugio or Pastoria de las Borregas,N.D. 97,ND,97,Confirmed,Confirmed,True,257,hoffman-table,https://digicoll.lib.berkeley.edu/record/265458
rancho-valle-san-jose-1,Valle De San Jose,ND 102,ND,102,Confirmed,Confirmed,True,231,hoffman-table,https://digicoll.lib.berkeley.edu/record/265462
u-94,Larkin's Rancho,N.D. 115,ND,115,Confirmed,Confirmed,True,130,hoffman-table,https://digicoll.lib.berkeley.edu/record/265475
u-28,Bolsa de Tomales,ND 121,ND,121,Confirmed,Confirmed,True,205,hoffman-table,https://digicoll.lib.berkeley.edu/record/265481
u-138,Yulupa,N.D. 140,ND,140,Rejected,other,,249,hoffman-table,https://digicoll.lib.berkeley.edu/record/265500
u-101,portion of Mallacomes or Moristal (No. 58),ND 150,ND,150,Confirmed,Confirmed,True,59,hoffman-table,https://digicoll.lib.berkeley.edu/record/265510
u-49,Carmel,N.D. 166,ND,166,Confirmed,Confirmed,True,89,hoffman-table,https://digicoll.lib.berkeley.edu/record/265526
rancho-uvas,Las Uvas,ND 174,ND,174,Confirmed,Confirmed,True,7,hoffman-table,https://digicoll.lib.berkeley.edu/record/265534
u-107,Moquelamo,ND 184,ND,184,Rejected,other,,357,hoffman-table,https://digicoll.lib.berkeley.edu/record/265543
u-112,Canada de los Osos,ND 191,ND,191,Rejected,Rejected,True,703,hoffman-table,
u-123,Island of Sacramento,ND 193,ND,193,Rejected,Rejected,True,711,hoffman-table,https://digicoll.lib.berkeley.edu/record/265787
u-31,Briesgau,ND 194,ND,194,Rejected,Rejected,True,626,hoffman-table,https://digicoll.lib.berkeley.edu/record/265788
u-57,Santa Clara Mission lands,ND 196,ND,196,Rejected,Rejected,True,687,hoffman-table,https://digicoll.lib.berkeley.edu/record/265790
u-68,"37 50-vara lots, Mission Dolores",ND 200,ND,200,Rejected,Rejected,True,171,hoffman-table,https://digicoll.lib.berkeley.edu/record/265794
u-69,"47 50-vara lots, Mission Dolores",ND 201,ND,201,Rejected,Rejected,True,172,hoffman-table,https://digicoll.lib.berkeley.edu/record/265795
u-3,Llano del Abrevadero,N.D. 203,ND,203,Rejected,Rejected,True,149,hoffman-table,https://digicoll.lib.berkeley.edu/record/265796
u-117,Potrero,N.D. 209,ND,209,Rejected,Rejected,True,496,hoffman-table,https://digicoll.lib.berkeley.edu/record/265802
u-130,Tinicasia,ND 210,ND,210,Rejected,Rejected,True,80,hoffman-table,https://digicoll.lib.berkeley.edu/record/267519
rancho-yerba-buena,Yerba Buena,ND 213,ND,213,Confirmed,Confirmed,True,93,hoffman-table,https://digicoll.lib.berkeley.edu/record/265805
u-87,San Isidro,N.D. 216,ND,216,Confirmed,Confirmed,True,112,hoffman-table,https://digicoll.lib.berkeley.edu/record/265808
u-1,"preemption claim, 50 by 180 feet, Mission Dolores",N.D. 219,ND,219,Rejected,Rejected,True,100,hoffman-table,https://digicoll.lib.berkeley.edu/record/265811
u-20,Rincon de la Ballena,ND 229,ND,229,Rejected,Rejected,True,192,hoffman-table,https://digicoll.lib.berkeley.edu/record/256563
u-17,Arastradero,ND 264,ND,264,Rejected,Rejected,True,696,hoffman-table,https://digicoll.lib.berkeley.edu/record/256596
u-96,Locoyollome,ND 267,ND,267,Rejected,Rejected,True,804,hoffman-table,https://digicoll.lib.berkeley.edu/record/256599
u-136,Willy,ND 268,ND,268,Rejected,Rejected,True,226,hoffman-table,https://digicoll.lib.berkeley.edu/record/256600
u-121,Island of Sacramento,N.D. 270,ND,270,Rejected,other,,294,hoffman-table,https://digicoll.lib.berkeley.edu/record/256602
u-73,Nueva Flandria,ND 272,ND,272,Rejected,Rejected,True,655,hoffman-table,https://digicoll.lib.berkeley.edu/record/256604
u-79,Panoche Grande,ND 278,ND,278,Confirmed,other,,569,hoffman-table,
u-137,Yucuy,ND 279,ND,279,Rejected,Rejected,True,768,hoffman-table,https://digicoll.lib.berkeley.edu/record/256610
u-75,two 50-vara lots in San Francisco,ND 284,ND,284,Rejected,Rejected,True,604,hoffman-table,https://digicoll.lib.berkeley.edu/record/256615
u-61,Los Coluses,ND 286,ND,286,Rejected,Rejected,True,658,hoffman-table,https://digicoll.lib.berkeley.edu/record/256617
u-103,Medano,ND 291,ND,291,Rejected,Rejected,True,691,hoffman-table,https://digicoll.lib.berkeley.edu/record/256621
rancho-yerba-buena-island,Yerba Buena Island (Goat Island),ND 299,ND,299,Rejected,Rejected,True,11,hoffman-table,https://digicoll.lib.berkeley.edu/record/256628
u-108,Nemshas,ND 302,ND,302,Rejected,other,,196,hoffman-table,https://digicoll.lib.berkeley.edu/record/256631
u-7,Ojo de Agua,ND 307,ND,307,Rejected,Rejected,True,784,hoffman-table,https://digicoll.lib.berkeley.edu/record/256636
u-80,half of San Ramon or Las Juntas,N.D. 322,ND,322,Confirmed,Confirmed,True,301,hoffman-table,https://digicoll.lib.berkeley.edu/record/256649
u-126,Socayac,N.D. 348,ND,348,Rejected,Rejected,True,235,hoffman-table,https://digicoll.lib.berkeley.edu/record/264185
u-128,Town of Sutter,ND 369,ND,369,Rejected,Rejected,True,759,hoffman-table,https://digicoll.lib.berkeley.edu/record/264205
rancho-tzabaco,Tzabaco,ND 374,ND,374,Confirmed,Confirmed,True,298,hoffman-table,https://digicoll.lib.berkeley.edu/record/264210
u-52,Cazadores,N.D. 376,ND,376,Rejected,Rejected,True,303,hoffman-table,https://digicoll.lib.berkeley.edu/record/264227
u-76,Potrero de San Francisco,N.D. 381,ND,381,Confirmed,Confirmed,True,101,hoffman-table,https://digicoll.lib.berkeley.edu/record/264232
u-2,200 square yards (Mission Dolores),ND 391,ND,391,Rejected,Rejected,True,29,hoffman-table,https://digicoll.lib.berkeley.edu/record/264240
u-95,Punta de Lobos,N.D. 394,ND,394,Rejected,Rejected,True,515,hoffman-table,https://digicoll.lib.berkeley.edu/record/264466
u-40,Las Calaveras,ND 399,ND,399,Rejected,other,,602,hoffman-table,https://digicoll.lib.berkeley.edu/record/264246
u-59,Mission Santa Clara Orchard,ND 402,ND,402,Rejected,other,,754,hoffman-table,https://digicoll.lib.berkeley.edu/record/264249
u-131,unnamed tract (10 by 2 leagues),N.D. 408,ND,408,Confirmed,Confirmed,True,103,hoffman-table,https://digicoll.lib.berkeley.edu/record/264255
u-42,Laguna de Santos Calle,ND 411,ND,411,Rejected,Rejected,True,70,hoffman-table,https://digicoll.lib.berkeley.edu/record/264258
u-58,Orchard of Santa Clara,ND 412,ND,412,Rejected,Rejected,True,742,hoffman-table,https://digicoll.lib.berkeley.edu/record/264259
u-12,"quicksilver mine New Almaden, formerly called Santa Clara",ND 420,ND,420,Confirmed,Confirmed,True,366,hoffman-table,https://digicoll.lib.berkeley.edu/record/264383
u-118,Pueblo of Sonoma,N.D. 423,ND,423,Confirmed,Confirmed,True,237,hoffman-table,https://digicoll.lib.berkeley.edu/record/264267
rancho-tularcitos-1,Los Tularcitos (Gomez),SD 003,SD,3,Confirmed,Confirmed,True,195,hoffman-table,https://digicoll.lib.berkeley.edu/record/266044
u-56,Cieneguita,SD 20,SD,20,Confirmed,Confirmed,True,328,hoffman-table,https://digicoll.lib.berkeley.edu/record/266060
rancho-unnamed-5,Potrero de Felipe Lugo,SD 033,SD,33,Confirmed,Confirmed,True,432,hoffman-table,https://digicoll.lib.berkeley.edu/record/266072
u-5,addition to San Miguelito,SD 38,SD,38,Confirmed,Confirmed,True,216,hoffman-table,https://digicoll.lib.berkeley.edu/record/256662
u-66,Canada de San Miguelito and Canada del Diablo,S.D. 57,SD,57,Confirmed,Confirmed,True,242,hoffman-table,https://digicoll.lib.berkeley.edu/record/266094
u-53,Cholam,S.D. 71,SD,71,Confirmed,Confirmed,True,98,hoffman-table,https://digicoll.lib.berkeley.edu/record/265821
u-72,San Felipe,SD 78,SD,78,Confirmed,Confirmed,True,64,hoffman-table,https://digicoll.lib.berkeley.edu/record/265826
u-88,Sobrante of Jacinto Viejo y Nuevo,S.D. 80,SD,80,Confirmed,Confirmed,True,116,hoffman-table,https://digicoll.lib.berkeley.edu/record/265828
u-104,Melyo,SD 91,SD,91,Rejected,Rejected,True,436,hoffman-table,https://digicoll.lib.berkeley.edu/record/266104
u-106,Rincon de la Puenta del Monte,S.D. 101,SD,101,Confirmed,Confirmed,True,502,hoffman-table,https://digicoll.lib.berkeley.edu/record/265844
u-63,Guadalupe Llanito de los Correos,S.D. 109,SD,109,Confirmed,Confirmed,True,152,hoffman-table,https://digicoll.lib.berkeley.edu/record/265850
rancho-vergeles,Los Vergeles,SD 111,SD,111,Confirmed,Confirmed,True,169,hoffman-table,https://digicoll.lib.berkeley.edu/record/265852
rancho-unnamed-1,"500 varas by 250, near San Gabriel",SD 134,SD,134,Confirmed,Confirmed,True,417,hoffman-table,https://digicoll.lib.berkeley.edu/record/265873
u-34,Llano de Buenavista,S.D. 151,SD,151,Confirmed,Confirmed,True,518,hoffman-table,https://digicoll.lib.berkeley.edu/record/266111
u-62,Corral de Padilla,SD 160,SD,160,Rejected,Rejected,True,615,hoffman-table,https://digicoll.lib.berkeley.edu/record/267528
u-125,Sierra de los Verdugos,SD 163,SD,163,Rejected,Rejected,True,438,hoffman-table,https://digicoll.lib.berkeley.edu/record/266122
u-16,Rio de las Animas,SD 176,SD,176,Rejected,Rejected,True,575,hoffman-table,https://digicoll.lib.berkeley.edu/record/266134
u-48,Mission of San Juan Capistrano,SD 180,SD,180,Rejected,Rejected,True,808,hoffman-table,https://digicoll.lib.berkeley.edu/record/266136
rancho-vallecitos-san-marcos,Los Vallecitos De San Marcos,SD 192,SD,192,Confirmed,Confirmed,True,451,hoffman-table,https://digicoll.lib.berkeley.edu/record/264215
rancho-valle-paro-santa-maria,Valle De Paro Or Santa Maria,SD 195,SD,195,Confirmed,Confirmed,True,332,hoffman-table,https://digicoll.lib.berkeley.edu/record/268899
u-83,Huerhuero or Huerfano,S.D. 196,SD,196,Confirmed,Confirmed,True,87,hoffman-table,https://digicoll.lib.berkeley.edu/record/267540
u-33,Buenavista,S.D. 204,SD,204,Confirmed,(no entry),,,none,https://digicoll.lib.berkeley.edu/record/267548
u-84,Las Huertas,SD 207,SD,207,Rejected,Rejected,True,322,hoffman-table,https://digicoll.lib.berkeley.edu/record/267551
u-10,El Alamo Pintado,SD 212,SD,212,Rejected,Rejected,True,309,hoffman-table,https://digicoll.lib.berkeley.edu/record/267556
u-36,Cahuenga,SD 225,SD,225,Rejected,Rejected,True,675,hoffman-table,https://digicoll.lib.berkeley.edu/record/267566
u-38,Cajon de los Negros,SD 229,SD,229,Rejected,Rejected,True,413,hoffman-table,https://digicoll.lib.berkeley.edu/record/267570
u-89,San Jacinto,S.D. 233,SD,233,Confirmed,Confirmed,True,115,hoffman-table,https://digicoll.lib.berkeley.edu/record/267574
u-71,Loma del Espiritu Santo,SD 234,SD,234,Rejected,Rejected,True,539,hoffman-table,https://digicoll.lib.berkeley.edu/record/267575
u-46,Camulos,S.D. 239,SD,239,Rejected,Rejected,True,491,hoffman-table,https://digicoll.lib.berkeley.edu/record/267580
rancho-zaca,La Zaca,SD 241,SD,241,Confirmed,Confirmed,True,265,hoffman-table,https://digicoll.lib.berkeley.edu/record/267582
u-81,one-half of Las Virgenes,S.D. 256,SD,256,Rejected,Rejected,True,508,hoffman-table,https://digicoll.lib.berkeley.edu/record/267597
u-45,San Juan Capistrano del Camote,S.D. 260,SD,260,Rejected,other,,304,hoffman-table,https://digicoll.lib.berkeley.edu/record/267601
rancho-virgenes,Las Virgenes,SD 265,SD,265,Confirmed,Confirmed,True,344,hoffman-table,https://digicoll.lib.berkeley.edu/record/267606
rancho-tract-between-san-jacinto-san-gorgonio,Between San Jacinto And San Gorgonio,SD 269,SD,269,Confirmed,Confirmed,True,443,hoffman-table,https://digicoll.lib.berkeley.edu/record/267610
u-114,Canada de los Pinacates,SD 270,SD,270,Rejected,Rejected,True,598,hoffman-table,https://digicoll.lib.berkeley.edu/record/267611
rancho-tres-ojos-agua,Tres Ojos De Agua,SD 285,SD,285,Confirmed,Confirmed,True,591,hoffman-table,https://digicoll.lib.berkeley.edu/record/268912
u-113,El Pajaro,SD 291,SD,291,Rejected,Rejected,True,635,hoffman-table,https://digicoll.lib.berkeley.edu/record/268918
rancho-tucho,El Tucho,SD 296,SD,296,Confirmed,Confirmed,True,790,hoffman-table,https://digicoll.lib.berkeley.edu/record/268922
u-13,Santa Ana y Santa Anita,S.D. 315,SD,315,Rejected,Rejected,True,275,hoffman-table,https://digicoll.lib.berkeley.edu/record/268940
u-43,Arroyo de los Calsoncillos,SD 319,SD,319,Rejected,Rejected,True,785,hoffman-table,https://digicoll.lib.berkeley.edu/record/268943
u-39,Cajuenga,SD 321,SD,321,Rejected,Rejected,True,783,hoffman-table,https://digicoll.lib.berkeley.edu/record/267617
u-64,one-half of Island Santa Cruz,SD 334,SD,334,Rejected,other,,805,hoffman-table,https://digicoll.lib.berkeley.edu/record/268957
u-4,addition to Santa Ana del Chino,SD 335,SD,335,Confirmed,Confirmed,True,434,hoffman-table,https://digicoll.lib.berkeley.edu/record/268958
rancho-unnamed-3,Potreros de San Juan Capistrano,SD 337,SD,337,Confirmed,Confirmed,True,394,hoffman-table,https://digicoll.lib.berkeley.edu/record/268960
u-97,San Luis Rey and Pala,SD 339,SD,339,Confirmed,Confirmed,True,348,hoffman-table,https://digicoll.lib.berkeley.edu/record/268962
u-120,Sansal Redondo,S.D. 354,SD,354,Confirmed,Confirmed,True,456,hoffman-table,https://digicoll.lib.berkeley.edu/record/268976
u-47,Mission of San Juan Capistrano,SD 363,SD,363,Confirmed,Confirmed,True,410,hoffman-table,https://digicoll.lib.berkeley.edu/record/268985
u-86,Mission of Santa Inez,SD 369,SD,369,Rejected,Rejected,True,538,hoffman-table,https://digicoll.lib.berkeley.edu/record/268990
u-119,Quien Sabe,SD 370,SD,370,Rejected,Rejected,True,55,hoffman-table,https://digicoll.lib.berkeley.edu/record/268991
u-25,San Justo el Viejo and San Bernabe,S.D. 375,SD,375,Rejected,Rejected,True,99,hoffman-table,https://digicoll.lib.berkeley.edu/record/268995
u-127,3 suertes,SD 377,SD,377,Rejected,Rejected,True,758,hoffman-table,https://digicoll.lib.berkeley.edu/record/268996
u-37,Cajon de Muscupiabe,SD 378,SD,378,Rejected,Rejected,True,380,hoffman-table,https://digicoll.lib.berkeley.edu/record/268997
u-18,Arias Rancho,SD 379,SD,379,Rejected,Rejected,True,753,hoffman-table,https://digicoll.lib.berkeley.edu/record/268998
u-115,Point Pinos,SD 380,SD,380,Rejected,Rejected,True,563,hoffman-table,https://digicoll.lib.berkeley.edu/record/268999
u-19,lands previously assigned to the pueblo,SD 382,SD,382,Confirmed,Confirmed,True,714,hoffman-table,https://digicoll.lib.berkeley.edu/record/269001
rancho-tres-ojos-agua-1,Tres Ojos De Agua,SD 397,SD,397,Confirmed,(no entry),,,none,https://digicoll.lib.berkeley.edu/record/269014
u-41,"the California Missions and land (21 Missions, incl. Canada de los Pinos/College Rancho, La Laguna, Two Gardens)",ND/SD 425,SD,425,Confirmed,(no entry),,,none,
