id,name,year,era,governor,grantee,acres,leagues,county,land_case,outcome,patent_to,patent_date,patent_acres,glo_patent_no,scotus_cite,bancroft_scan_url,portal_url,mapped,docket_relation
rancho-san-gabriel,San Gabriel,1845,pico,Pio Pico,Jose Ledesma,22,,,SD 063,Confirmed,Jose Ledesma,"June 20, 1871",22.21,453,,https://digicoll.lib.berkeley.edu/record/266098,https://ranchos.archivesofcalifornia.com/r/rancho-san-gabriel.html,yes,sole
rancho-tres-ojos-agua,Tres Ojos De Agua,1844,micheltorena,Micheltorena,N. Dodero,176,,Santa Cruz,SD 285,Confirmed,Nicolas Dodero,"June 7, 1866",176.03,211,,https://digicoll.lib.berkeley.edu/record/268912,https://ranchos.archivesofcalifornia.com/r/rancho-tres-ojos-agua.html,yes,sole
rancho-san-gabriel-1,San Gabriel,1845,pico,Pio Pico,F. Sales,19,,,SD 094,Confirmed,Francisco Sales,"June 20, 1871",19.43,450,,https://digicoll.lib.berkeley.edu/record/267522,https://ranchos.archivesofcalifornia.com/r/rancho-san-gabriel-1.html,yes,sole
rancho-unnamed,Unnamed grant (SD 058),1845,pico,Pío Pico,José Domingo,22,,,SD 058,Confirmed,Jose Domingo,"Aug. 23, 1871",22.34,453,,https://digicoll.lib.berkeley.edu/record/267521,https://ranchos.archivesofcalifornia.com/r/rancho-unnamed.html,yes,sole
rancho-alcatraz,Alcatraz,1843,micheltorena,Micheltorena,J. Y. Limantour,365,1,,ND 429,Rejected,,,,,,https://digicoll.lib.berkeley.edu/record/266041,https://ranchos.archivesofcalifornia.com/r/rancho-alcatraz.html,yes,sole
rancho-san-gabriel-2,San Gabriel,1845,pico,Pio Pico,Ramon Valencia et al,49,,,SD 139,Confirmed,Juana P. de Courtney,"June 20, 1871",49.29,415,,https://digicoll.lib.berkeley.edu/record/267526,https://ranchos.archivesofcalifornia.com/r/rancho-san-gabriel-2.html,yes,sole
rancho-unnamed-1,"500 varas by 250, near San Gabriel",1843,micheltorena,Micheltorena,Manuel Dolivera,22,,,SD 134,Confirmed,,,,449,,https://digicoll.lib.berkeley.edu/record/265873,https://ranchos.archivesofcalifornia.com/r/rancho-unnamed-1.html,yes,sole
rancho-san-gabriel-3,San Gabriel,1843,micheltorena,Micheltorena,Manuel Dolivera,22,,,SD 136,Confirmed,Juan Silvas,"Nov. 3, 1910",22.09,,,https://digicoll.lib.berkeley.edu/record/265875,https://ranchos.archivesofcalifornia.com/r/rancho-san-gabriel-3.html,yes,sole
rancho-camaritas,Las Camaritas,1840,alvarado,Alvarado,Jose de Jesus Noe,19,,San Francisco,ND 387,Confirmed,Ferdinand Vassault,"Dec. 18, 1882",18.57,543,,https://digicoll.lib.berkeley.edu/record/264237,https://ranchos.archivesofcalifornia.com/r/rancho-camaritas.html,yes,sole
rancho-san-gabriel-4,San Gabriel,1846,pico,Pio Pico,Simeon,30,,,SD 095,Confirmed,"Simeon, an Indian","Dec. 27, 1876",30.45,451,,https://digicoll.lib.berkeley.edu/record/267523,https://ranchos.archivesofcalifornia.com/r/rancho-san-gabriel-4.html,yes,sole
